Angle,I1,I2,I3,I4,I5,I6,I7
2.5,11,4,5,0,7,4,0
2.6,13,3,2,1,7,7,1
2.7,12,4,2,0,8,5,0
2.8,14,3,3,0,8,2,0
2.9,12,8,0,0,9,3,1
3,21,4,2,0,14,5,4
3.1,64,3,0,0,7,1,3
3.2,245,4,0,0,9,3,1
3.3,403,4,2,0,21,1,0
3.4,618,4,1,1,87,3,0
3.5,675,7,2,3,244,1,1
3.6,753,12,2,1,360,4,4
3.7,834,77,3,0,487,4,0
3.8,881,180,3,1,580,2,0
3.9,935,287,1,0,620,6,1
4,906,369,1,0,731,14,1
4.1,928,439,3,0,723,73,2
4.2,933,477,5,1,744,174,0
4.3,964,546,3,0,760,263,1
4.4,986,596,6,1,788,304,0
4.5,946,607,49,0,841,330,2
4.6,994,599,107,0,811,380,1
4.7,933,632,181,1,836,436,0
4.8,936,661,211,2,841,417,2
4.9,913,620,227,1,878,472,4
5,905,610,292,0,773,482,26
5.1,913,595,256,2,753,446,65
5.2,863,653,275,0,821,515,101
5.3,810,629,329,1,768,511,145
5.4,815,619,351,0,725,516,159
5.5,793,646,354,0,710,501,167
5.6,735,600,377,10,706,474,226
5.7,757,581,348,28,694,446,236
5.8,737,545,376,56,629,460,239
5.9,822,592,387,72,747,507,223
6,1396,916,474,98,1167,730,325
6.1,1824,1254,616,127,1573,985,351
6.2,1424,950,521,125,1224,690,313
6.3,962,684,422,138,832,583,281
6.4,761,607,390,143,712,501,262
6.5,734,575,356,147,667,477,289
6.6,662,528,372,134,595,429,247
6.7,700,478,357,151,564,413,255
6.8,2248,1464,722,145,1871,1149,455
6.9,3892,2481,1254,180,3208,1853,625
7,2747,1847,907,191,2309,1378,464
7.1,1722,1191,541,156,1459,816,324
7.2,1073,672,415,132,923,543,260
7.3,821,543,341,146,717,398,249
7.4,727,433,282,150,582,348,204
7.5,631,389,243,113,463,318,197
7.6,557,332,266,136,454,283,189
7.7,563,318,213,128,431,275,174
7.8,538,301,182,111,449,251,179
7.9,514,337,220,122,412,217,173
8,484,276,184,106,392,199,141
8.1,479,296,189,111,389,200,136
8.2,420,287,147,90,348,188,149
8.3,440,238,149,98,356,180,128
8.4,372,265,130,86,330,184,133
8.5,378,244,133,83,362,165,102
8.6,320,230,123,65,321,166,101
8.7,343,241,105,77,292,179,120
8.8,335,206,101,68,279,168,76
8.9,332,217,101,53,312,169,101
9,297,219,86,58,249,136,82
9.1,291,202,76,51,243,131,73
9.2,257,181,79,42,242,144,52
9.3,262,202,54,51,236,128,75
9.4,227,187,65,35,212,128,49
9.5,241,167,64,26,219,118,47
9.6,200,157,67,30,178,104,36
9.7,244,165,74,26,220,112,37
9.8,238,143,53,22,158,113,30
9.9,205,147,58,26,172,104,37
10,206,122,67,24,184,107,30
